Date,failure_prob,topicid59_Power_preprocessed_Trend,topicid59_Voltage_preprocessed_Trend,topicid59_Current_preprocessed_Trend
03/02/2025,1,0,-1.0875902703861193,0
03/02/2025,1,0,-5.730076692959736,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.273202711657282,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.699060326849375,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.820024862678485,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.924353298445686,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.7476199879017855,0
03/02/2025,1,0,-0.6152608513963678,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.521117180491907,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.82614796504156,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.381446331351285,0
03/02/2025,1,0,-3.2929180507009193,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-12.072603575032842,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.829908083179526,0
03/02/2025,1,0,-10.33283523055188,0
03/02/2025,1,0,-5.161360964184031,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.699091677549532,0
03/02/2025,1,0,-11.294542741572782,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.066180204712987,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.066180204712987,0
03/02/2025,1,0,-0.7476199879017855,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.122919769617965,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.3310057680720302,0
03/02/2025,1,0,-2.2708114981026153,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.381446331351285,0
03/02/2025,1,0,-7.312489398556031,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.926443566585075,0
03/02/2025,1,0,-7.312489398556031,0
03/02/2025,1,0,-11.619922306207284,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.310202057842726,0
03/02/2025,1,0,-3.974106675406487,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.7927041175522476,0
03/02/2025,1,0,-11.619922306207284,0
03/02/2025,1,0,-5.606031982068773,0
03/02/2025,1,0,-9.90979622667215,0
03/02/2025,1,0,-3.1249853692913376,0
03/02/2025,1,0,-10.310202057842726,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.5011775905189335,0
03/02/2025,1,0,-7.699091677549532,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.7509746776111506,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.730076692959736,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.82614796504156,0
03/02/2025,1,0,-7.312489398556031,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.521117180491907,0
03/02/2025,1,0,-6.699060326849375,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.6601040471698258,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.6601040471698258,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.381446331351285,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.783034802474919,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.5106706717826004,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.5106706717826004,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.294542741572782,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.0875902703861193,0
