Date,failure_prob,topicid68_Power_preprocessed_Trend,topicid68_Voltage_preprocessed_Trend,topicid68_Current_preprocessed_Trend
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.917848191799365,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.6013683096273867,0
03/02/2025,1,0,-8.272197149362142,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.513501582318183,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.2059555715499206,0
03/02/2025,1,0,-2.777449656468569,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.388350999985238,0
03/02/2025,1,0,-0.6878829715522716,0
03/02/2025,1,0,-4.059204283267576,0
03/02/2025,1,0,-1.9570834534119381,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.7397140366101294,0
03/02/2025,1,0,-3.02968387115512,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.2059555715499206,0
03/02/2025,1,0,-5.573059523062632,0
03/02/2025,1,0,-4.027145979114418,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.0326814331637086,0
03/02/2025,1,0,-8.272197149362142,0
03/02/2025,1,0,-3.6013683096273867,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.513501582318183,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.5499417890433715,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.013051410644804,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.37255067740779,0
03/02/2025,1,0,-1.7397140366101294,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.380849642013008,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.030322032687565,0
03/02/2025,1,0,-2.4807198629485345,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.8011263259934376,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.4616976314928296,0
03/02/2025,1,0,-3.577019356318244,0
03/02/2025,1,0,-1.692881604105807,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.0326814331637086,0
03/02/2025,1,0,-1.4317575660050572,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.290089682531207,0
03/02/2025,1,0,-1.8710110934963309,0
03/02/2025,1,0,-7.109056882023646,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.869189747037167,0
03/02/2025,1,0,-1.678415141967994,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.629559169880286,0
03/02/2025,1,0,-3.397761633978777,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.02968387115512,0
03/02/2025,1,0,-2.36909212206214,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.175451599140451,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.692881604105807,0
03/02/2025,1,0,-1.4599625173442625,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.318711158080063,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.4599625173442625,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.483974343892857,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.175451599140451,0
03/02/2025,1,0,-0.917848191799365,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.771618945337712,0
03/02/2025,1,0,-3.4616976314928296,0
03/02/2025,1,0,-3.0326814331637086,0
03/02/2025,1,0,-2.1414878296552162,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.4317575660050572,0
03/02/2025,1,0,-5.198872219416691,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.483974343892857,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.8821418037577464,0
03/02/2025,1,0,-2.175451599140451,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.906568356037731,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.696856286942605,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.771618945337712,0
03/02/2025,1,0,-5.186382422813276,0
03/02/2025,1,0,-6.020489533887083,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.380849642013008,0
03/02/2025,1,0,-3.4616976314928296,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.2775195976574683,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.268721091482715,0
03/02/2025,1,0,-6.020489533887083,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.7397140366101294,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.7397140366101294,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.8011263259934376,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.1414878296552162,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.4599625173442625,0
03/02/2025,1,0,-8.272197149362142,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.268721091482715,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.678415141967994,0
03/02/2025,1,0,-3.0326814331637086,0
03/02/2025,1,0,-3.397761633978777,0
03/02/2025,1,0,-2.1414878296552162,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.4807198629485345,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.175451599140451,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.4317575660050572,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.380849642013008,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.02968387115512,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.771618945337712,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.059204283267576,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.4807198629485345,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.397761633978777,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.2775195976574683,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.388350999985238,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.5499417890433715,0
03/02/2025,1,0,-8.513501582318183,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.2775195976574683,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.573059523062632,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.8011263259934376,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.4317575660050572,0
03/02/2025,1,0,-1.4599625173442625,0
03/02/2025,1,0,-1.8710110934963309,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.629559169880286,0
03/02/2025,1,0,-5.198872219416691,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.290089682531207,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.6878829715522716,0
03/02/2025,1,0,-1.9570834534119381,0
03/02/2025,1,0,-2.777449656468569,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.917848191799365,0
03/02/2025,1,0,-7.030322032687565,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.318711158080063,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.629559169880286,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.388350999985238,0
03/02/2025,1,0,-2.175451599140451,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.380849642013008,0
