Date,failure_prob,topicid37_Power_preprocessed_Trend,topicid37_Voltage_preprocessed_Trend,topicid37_Current_preprocessed_Trend
03/02/2025,0,0,0,0
03/02/2025,1,-1.412920611883447,-5.474508832451995,-0.01809693458599105
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.08186846827729588,-3.3073611729893573,-0.035087552282599924
03/02/2025,1,-1.624667168713786,-3.7537446106319816,-0.07492427940490816
03/02/2025,0,0,0,0
03/02/2025,1,-1.4580467449097425,-4.16769415557975,-0.009547991146319476
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.6178095263122207,-3.789107365083,-0.05773262324320373
03/02/2025,1,-0.739554954163784,-1.6620384864692204,-0.00310811068754184
03/02/2025,1,-0.7294364422762782,-3.959026548006915,-0.01262309852836753
03/02/2025,1,-1.4580467449097425,-4.16769415557975,-0.009547991146319476
03/02/2025,1,-0.3157398875786075,-5.930742532306462,-0.04785569600017037
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.305632687987155,-0.6058557509141371,-0.022617389713251154
03/02/2025,0,0,0,0
03/02/2025,1,-1.1770646644947278,-0.3660292724684773,-0.000626133840600035
03/02/2025,1,-0.8460721789427249,-3.0271794173638904,-0.01501671881654322
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.3423687518101146,-3.3546688994673266,-0.046104463299249526
03/02/2025,0,0,0,0
03/02/2025,1,-0.9227733331527599,-6.876698818073751,-0.008218151158629824
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.0944478145996555,-2.2791302713658004,-0.0713801174560403
03/02/2025,1,-0.12755135076772461,-7.329647459641577,-0.07017924670450812
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.9210271861928436,-7.557511838523055,-0.01856382128725953
03/02/2025,1,-0.19557342316541781,-2.4017905292016453,-0.004243801337160166
03/02/2025,1,-0.5246052164441897,-1.1831810631908608,-0.056724221771208894
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.12015339867174823,-8.00447133706708,-0.05974398854821876
03/02/2025,1,-0.8227968080761311,-3.4348361689345364,-0.012578342813799756
03/02/2025,1,-0.02442010083044832,-5.681346912225609,-0.025776933541828688
03/02/2025,0,0,0,0
03/02/2025,1,-1.0268662717269392,-3.5450804130488995,-0.05525286931206169
03/02/2025,0,0,0,0
03/02/2025,1,-0.2759872667499259,-3.079100677831578,-0.03735520859179852
03/02/2025,0,0,0,0
03/02/2025,1,-0.2759872667499259,-3.079100677831578,-0.03735520859179852
03/02/2025,0,0,0,0
03/02/2025,1,-1.0472010017932871,-3.486523087703598,-0.05858847744516488
03/02/2025,1,-1.677309021773233,-4.3076747285460275,-0.02878508625435721
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
