Date,failure_prob,topicid31_Power_preprocessed_Trend,topicid31_Voltage_preprocessed_Trend,topicid31_Current_preprocessed_Trend
03/02/2025,1,0,-7.107192812333551,-1.0014588766199481
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.672913794515695,-0.3534660761127342
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.0609213812702,-0.6005055432425117
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.1782415210909374,-0.7731999492915994
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.3825343673526564,-0.7214233889373589
03/02/2025,1,0,-8.146218201946418,-0.9893922721607574
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.855736719683447,-0.9774419076538543
03/02/2025,1,0,-7.107192812333551,-1.0014588766199481
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.41182098339567474,-0.22474992476947264
03/02/2025,1,0,-8.383056071173254,-0.1321760654885955
03/02/2025,1,0,-4.672913794515695,-0.3534660761127342
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.6438785716521567,-0.5265200089832087
03/02/2025,1,0,-0.5450076933650614,-0.088776114081905
03/02/2025,1,0,-1.3158260136059114,-0.7204660225857497
03/02/2025,1,0,-4.049890580102586,-0.3204563150765356
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.810160510774966,-1.0508323490650124
03/02/2025,1,0,-6.2034523548772285,-0.8151225481345509
03/02/2025,1,0,-1.6438785716521567,-0.5265200089832087
03/02/2025,1,0,-4.196399287590637,-0.7792637096816444
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.9851000533532694,-0.15233724864592357
03/02/2025,1,0,-2.4989424980726307,-0.06751789846377898
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.887472193344176,-0.5668454684180421
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.47366015168867825,-1.3185764810479101
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.031887028121601,-0.00709949428236456
03/02/2025,1,0,-2.3825343673526564,-0.7214233889373589
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.568760485749664,-0.44527028284575865
03/02/2025,1,0,-6.843851002019476,-0.28202250145350116
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.5450076933650614,-0.088776114081905
03/02/2025,1,0,-3.858777423200989,-1.070700838441837
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.049890580102586,-0.3204563150765356
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.380552777501654,-1.1572785718048544
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.918533670917183,-0.5759676052211773
03/02/2025,1,0,-4.805757089202316,-0.11120853147926901
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.2705245232844637,-0.8593146335738097
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.843851002019476,-0.28202250145350116
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.855736719683447,-0.9774419076538543
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.049890580102586,-0.3204563150765356
03/02/2025,1,0,-3.381241181291017,-1.2425398217833725
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.28394081610608,-0.3496349351170449
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.4228835689518995,-0.7060938304677886
03/02/2025,1,0,-3.1782415210909374,-0.7731999492915994
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.031887028121601,-0.00709949428236456
03/02/2025,1,0,-8.087191079825272,-1.284551225867979
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.0913771360406077,-0.45007298237126503
03/02/2025,1,0,-3.541366777634412,-0.015776604309570175
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.864363990651751,-1.1693475303197607
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.146218201946418,-0.9893922721607574
03/02/2025,1,0,-7.749276279619657,-1.091339197432064
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.196399287590637,-0.7792637096816444
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.451987863655249,-0.7455809468601474
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.5566061503547175,-1.4559837577630554
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.28394081610608,-0.3496349351170449
03/02/2025,1,0,-4.835998849108118,-1.206253129629467
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.6293020955114565,-0.5794370649992227
03/02/2025,1,0,-1.3158260136059114,-0.7204660225857497
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.049890580102586,-0.3204563150765356
03/02/2025,1,0,-3.6293020955114565,-0.5794370649992227
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.007251335455251,-0.6455417015110779
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.107192812333551,-1.0014588766199481
03/02/2025,1,0,-2.611221190283797,-1.118763730404276
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.843851002019476,-0.28202250145350116
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.087191079825272,-1.284551225867979
03/02/2025,1,0,-3.858777423200989,-1.070700838441837
03/02/2025,1,0,-1.9851000533532694,-0.15233724864592357
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.918533670917183,-0.5759676052211773
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.3825343673526564,-0.7214233889373589
03/02/2025,1,0,-0.5566061503547175,-1.4559837577630554
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.087191079825272,-1.284551225867979
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.383056071173254,-0.1321760654885955
03/02/2025,1,0,-3.381241181291017,-1.2425398217833725
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.107192812333551,-1.0014588766199481
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.810160510774966,-1.0508323490650124
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.3825343673526564,-0.7214233889373589
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
